company,location,state,industry,total_laid_off,percentage_laid_off,date,stage,country,funds_raised_millions,role,department,employee_type,reason,company_size,source
Lenskart,Gurugram,Haryana,Retail,29,0.134,2026-04-18,Late Stage,India,1500,UI/UX Designer,Design,Intern,Economic slowdown,Large,Synthetic Practice Data
Paytm,Mumbai,Maharashtra,FinTech,30,0.076,2023-02-02,Post-IPO,India,5000,Sales Executive,Sales,Full-time,Market conditions,Medium,Synthetic Practice Data
OYO,New Delhi,Delhi,Travel,553,0.121,2024-10-31,Post-IPO,India,4300,Customer Support Executive,Customer Support,Contract,Funding issues,Startup,Synthetic Practice Data
PharmEasy,New Delhi,Delhi,HealthTech,671,0.073,2026-08-13,Late Stage,India,1200,Data Analyst,Analytics,Intern,Restructuring,Small,Synthetic Practice Data
Wipro,Pune,Maharashtra,IT Services,1078,0.129,2022-03-05,Post-IPO,India,0,Project Manager,Project Management,Intern,Performance optimization,Medium,Synthetic Practice Data
Meesho,Gurugram,Haryana,E-commerce,207,0.025,2025-03-28,Late Stage,India,1200,Sales Executive,Sales,Intern,Funding issues,Small,Synthetic Practice Data
Razorpay,Mumbai,Maharashtra,FinTech,446,0.155,2026-06-19,Late Stage,India,800,QA Engineer,Quality Assurance,Intern,Business shutdown,Small,Synthetic Practice Data
Udaan,Gurugram,Haryana,E-commerce,635,0.095,2022-02-22,Late Stage,India,1200,QA Engineer,Quality Assurance,Full-time,Merger and acquisition,Startup,Synthetic Practice Data
Zomato,Gurugram,Haryana,Food Delivery,395,0.196,2022-11-16,Post-IPO,India,2500,,,Contract,Merger and acquisition,Medium,Synthetic Practice Data
Policybazaar,Gurugram,Haryana,Financial Services,1031,0.075,2026-01-13,Post-IPO,India,800,DevOps Engineer,Engineering,Contract,Strategic restructuring,Enterprise,Synthetic Practice Data
Accenture India,Mumbai,Maharashtra,IT Services,192,0.213,2024-12-18,Private,India,0,Data Scientist,Data Science,Full-time,Cost cutting,Large,Synthetic Practice Data
Infosys,Pune,Maharashtra,IT Services,173,0.24,2026-07-31,Post-IPO,India,0,Product Manager,Product,Contract,Restructuring,Startup,Synthetic Practice Data
Myntra,Mumbai,Maharashtra,E-commerce,234,0.083,2026-06-13,Late Stage,India,500,Product Manager,Product,Intern,Cost cutting,Large,Synthetic Practice Data
Infosys,Hyderabad,Telangana,IT Services,745,0.15,2021-07-06,Post-IPO,India,0,Product Manager,Product,Intern,Cost cutting,Medium,Synthetic Practice Data
Myntra,Mumbai,Maharashtra,E-commerce,370,0.244,2023-10-16,Late Stage,India,500,Sales Executive,Sales,Part-time,Business shutdown,Large,Synthetic Practice Data
Tech Mahindra,Pune,Maharashtra,IT Services,581,0.103,2025-09-25,Post-IPO,India,0,Marketing Executive,Marketing,Intern,Merger and acquisition,Large,Synthetic Practice Data
Wipro,Kolkata,West Bengal,IT Services,998,0.078,2022-02-17,Post-IPO,India,0,Software Engineer,Engineering,Contract,Cost cutting,Startup,Synthetic Practice Data
Wipro,Pune,Maharashtra,IT Services,734,0.118,2026-01-16,Post-IPO,India,0,Sales Executive,Sales,Part-time,Economic slowdown,Startup,Synthetic Practice Data
Accenture India,Mumbai,Maharashtra,IT Services,128,0.041,2025-09-16,Private,India,0,Project Manager,Project Management,Intern,Restructuring,Large,Synthetic Practice Data
Meesho,Gurugram,Haryana,E-commerce,434,0.224,2023-03-08,Late Stage,India,1200,DevOps Engineer,Engineering,Intern,Market conditions,Large,Synthetic Practice Data
Ather Energy,Pune,Maharashtra,Automotive,366,0.2,2022-12-06,Late Stage,India,500,Recruiter,Human Resources,Intern,Automation,Startup,Synthetic Practice Data
PharmEasy,New Delhi,Delhi,HealthTech,602,0.086,2022-12-14,Late Stage,India,1200,Project Manager,Project Management,Part-time,Market conditions,Large,Synthetic Practice Data
Swiggy,Bengaluru,Karnataka,Food Delivery,727,0.073,2026-08-16,Post-IPO,India,3600,DevOps Engineer,Engineering,Part-time,Merger and acquisition,Startup,Synthetic Practice Data
TCS,Chennai,Tamil Nadu,IT Services,1124,0.057,2025-06-11,Post-IPO,India,0,Business Analyst,Business,Contract,Performance optimization,Startup,Synthetic Practice Data
Myntra,Mumbai,Maharashtra,E-commerce,61,0.179,2025-02-21,Late Stage,India,500,Operations Executive,Operations,Part-time,Business shutdown,Large,Synthetic Practice Data
Wipro,Bengaluru,Karnataka,IT Services,196,0.063,2021-03-24,Post-IPO,India,0,DevOps Engineer,,Contract,Economic slowdown,Startup,Synthetic Practice Data
Policybazaar,Mumbai,Maharashtra,Financial Services,222,0.172,2021-07-03,Post-IPO,India,800,UI/UX Designer,Design,Contract,Performance optimization,Startup,Synthetic Practice Data
Tech Mahindra,Bengaluru,Karnataka,IT Services,755,0.087,2025-02-10,Post-IPO,India,0,Business Analyst,Business,Intern,Market conditions,Medium,Synthetic Practice Data
Accenture India,Chennai,Tamil Nadu,IT Services,49,0.037,2024-05-27,Private,India,0,Customer Support Executive,customer support,Contract,Automation,Enterprise,Synthetic Practice Data
PharmEasy,Mumbai,Maharashtra,HealthTech,563,0.051,2021-10-06,Late Stage,India,1200,Senior Software Engineer,Engineering,Contract,,Startup,Synthetic Practice Data
Policybazaar,Mumbai,Maharashtra,Financial Services,165,0.177,2022-10-26,Post-IPO,India,800,Product Manager,Product,Contract,Strategic restructuring,Startup,Synthetic Practice Data
TCS,Chennai ,Tamil Nadu,IT Services,656,0.106,2025-10-24,Post-IPO,India,0,Data Scientist,Data Science,Part-time,Strategic restructuring,Startup,Synthetic Practice Data
Dream11,Mumbai,Maharashtra,Gaming,516,0.128,2023-05-02,Late Stage,India,1000,DevOps Engineer,Engineering,Full-time,Market conditions,Startup,Synthetic Practice Data
Ola,New Delhi,Delhi,Transportation,403,0.093,2023-01-01,Late Stage,India,3200,HR Executive,Human Resources,Part-time,Economic slowdown,Startup,Synthetic Practice Data
Policybazaar,Gurugram,Haryana,Financial Services,49,0.039,2026-02-22,Post-IPO,India,800,Recruiter,Human Resources,Part-time,Economic slowdown,Large,Synthetic Practice Data
 PhonePe,Bengaluru,Karnataka,FinTech,507,0.044,2026-07-21,Late Stage,India,2200,Software Engineer,Engineering,Full-time,Performance optimization,Enterprise,Synthetic Practice Data
Ather Energy,Pune,Maharashtra,Automotive,471,0.121,2025-06-19,Late Stage,India,500,Finance Analyst,Finance,Full-time,Performance optimization,Small,Synthetic Practice Data
PharmEasy,Bengaluru,Karnataka,HealthTech,438,0.096,2022-03-06,Late Stage,India,1200,Recruiter,Human Resources,Part-time,Automation,Startup,Synthetic Practice Data
Moglix,Mumbai,Maharashtra,E-commerce,279,0.222,2021-06-24,Late Stage,India,650,UI/UX Designer,Design,Intern,Strategic restructuring,Startup,Synthetic Practice Data
Lenskart,Gurugram,Haryana,Retail,97,0.137,2025-08-23,Late Stage,India,1500,Data Analyst,Analytics,Full-time,Strategic restructuring,Small,Synthetic Practice Data
Flipkart,Kolkata,West Bengal,E-commerce,340,0.114,2024-08-12,Late Stage,India,8700,Data Analyst,Analytics,Part-time,Restructuring,Startup,Synthetic Practice Data
Dream11,Gurugram,Haryana,Gaming,294,0.231,2026-01-13,Late Stage,India,1000,Product Manager,Product,Full-time,Funding issues,Startup,Synthetic Practice Data
Meesho,Mumbai,Maharashtra,E-commerce,207,0.028,2022-01-12,Late Stage,India,1200,HR Executive,Human Resources,Part-time,Cost cutting,Enterprise,Synthetic Practice Data
Tech Mahindra,Kolkata,West Bengal,IT Services,898,0.145,2025-04-20,Post-IPO,India,0,Customer Support Executive,Customer Support,Intern,Cost cutting,Startup,Synthetic Practice Data
Wipro,Hyderabad,Telangana,IT Services,882,0.052,2021-11-12,Post-IPO,India,0,Customer Support Executive,Customer Support,Part-time,Funding issues,Medium,Synthetic Practice Data
Paytm,Bengaluru,Karnataka,FinTech,1005,0.037,2022-03-21,Post-IPO,India,5000,Recruiter,Human Resources,Full-time,Business shutdown,Large,Synthetic Practice Data
Tech Mahindra,Pune,Maharashtra,IT Services,685,0.095,2022-11-13,Post-IPO,India,0,Customer Support Executive,Customer Support,Full-time,Strategic restructuring,Large,Synthetic Practice Data
Flipkart,Gurugram,Haryana,E-commerce,64,0.029,2025-02-26,Late Stage,India,8700,Sales Executive,Sales,Full-time,Automation,Startup,Synthetic Practice Data
PharmEasy,New Delhi,Delhi,HealthTech,469,0.156,2021-01-27,Late Stage,India,1200,Customer Support Executive,Customer Support,Contract,Economic slowdown,Large,Synthetic Practice Data
Udaan,Gurugram,Haryana,E-commerce,258,0.022,2021-06-22,Late Stage,India,1200,QA Engineer,Quality Assurance,Intern,Strategic restructuring,Large,Synthetic Practice Data
Zomato,Bengaluru,Karnataka,Food Delivery,102,0.058,2024-06-22,Post-IPO,India,2500,Sales Executive,Sales,Full-time,Funding issues,Startup,Synthetic Practice Data
Policybazaar,Mumbai,Maharashtra,Financial Services,625,0.1,2023-09-08,Post-IPO,India,800,Business Analyst,Business,Intern,Automation,Large,Synthetic Practice Data
Policybazaar,Mumbai,Maharashtra,Financial Services,912,0.047,2022-10-29,Post-IPO,India,800,Marketing Executive,Marketing,Contract,Economic slowdown,Enterprise,Synthetic Practice Data
Razorpay,Mumbai,Maharashtra,FinTech,111,0.145,2024-03-14,Late Stage,India,800,DevOps Engineer,Engineering,Full-time,Economic slowdown,Small,Synthetic Practice Data
Udaan,Mumbai,Maharashtra,E-commerce,223,0.22,2024-09-25,Late Stage,India,1200,Business Analyst,Business,Intern,Business shutdown,Startup,Synthetic Practice Data
Swiggy,Bengaluru,Karnataka,Food Delivery,746,0.141,2022-12-13,Post-IPO,India,3600,Product Manager,Product,Intern,Economic slowdown,Small,Synthetic Practice Data
Unacademy,,Rajasthan,EdTech,510,0.145,2026-07-03,Late Stage,India,800,Recruiter,Human Resources,Part-time,Automation,Small,Synthetic Practice Data
Unacademy,Bengaluru,Karnataka,EdTech,361,0.246,2022-08-18,Late Stage,India,800,UI/UX Designer,Design,Full-time,Strategic restructuring,Small,Synthetic Practice Data
Unacademy,Bengaluru,Karnataka,EdTech,461,0.155,2023-01-15,Late Stage,India,800,Software Engineer,Engineering,Part-time,Automation,Startup,Synthetic Practice Data
BYJU'S,Mumbai,Maharashtra,EdTech,524,0.139,2024-06-27,Late Stage,India,5500,Data Scientist,Data Science,Intern,Restructuring,Medium,Synthetic Practice Data
Tech Mahindra,Bengaluru,Karnataka,IT Services,534,0.109,2024-06-30,Post-IPO,India,0,Software Engineer,Engineering,Full-time,Performance optimization,Enterprise,Synthetic Practice Data
Lenskart,Bengaluru,Karnataka,Retail,487,0.183,2022-09-27,Late Stage,India,1500,Software Engineer,Engineering,Part-time,Cost cutting,Small,Synthetic Practice Data
HCLTech,Chennai,Tamil Nadu,IT Services,738,0.145,2026-03-16,Post-IPO,India,0,Finance Analyst,Finance,Full-time,Market conditions,Large,Synthetic Practice Data
OYO,New Delhi,Delhi,Travel,1082,0.109,2026-02-11,Post-IPO,India,4300,Finance Analyst,Finance,Intern,Economic slowdown,Small,Synthetic Practice Data
Myntra,Mumbai,Maharashtra,E-commerce,63,0.084,2025-03-26,Late Stage,India,500,Software Engineer,Engineering,Intern,Economic slowdown,Large,Synthetic Practice Data
ShareChat,,Karnataka,Social Media,360,0.242,2024-05-01,Late Stage,India,1300,DevOps Engineer,Engineering,Intern,Economic slowdown,Small,Synthetic Practice Data
BYJU'S,Mumbai,Maharashtra,EdTech,176,0.241,2026-03-30,Late Stage,India,5500,UI/UX Designer,Design,Part-time,Performance optimization,Small,Synthetic Practice Data
Moglix,Mumbai,Maharashtra,E-commerce,270,0.208,2023-06-12,Late Stage,India,650,Software Engineer,Engineering,Intern,Strategic restructuring,Startup,Synthetic Practice Data
PhonePe,Mumbai,Maharashtra,FinTech,660,0.139,2021-05-06,Late Stage,India,2200,UI/UX Designer,Design,Intern,Performance optimization,Medium,Synthetic Practice Data
Ather Energy,Chennai,Tamil Nadu,Automotive,564,0.099,2023-02-22,Late Stage,India,500,HR Executive,Human Resources,Contract,,Startup,Synthetic Practice Data
Unacademy,Bengaluru,Karnataka,EdTech,388,0.116,2023-05-08,Late Stage,India,800,Software Engineer,Engineering,Intern,Funding issues,Small,Synthetic Practice Data
Udaan,Mumbai,Maharashtra,E-commerce,343,0.065,2022-04-12,Late Stage,India,1200,,Data Science,Part-time,Business shutdown,Large,Synthetic Practice Data
Ola,Bengaluru,Karnataka,Transportation,220,0.23,2022-10-06,Late Stage,India,3200,Data Scientist,Data Science,Full-time,Business shutdown,Large,Synthetic Practice Data
Tech Mahindra,Pune,Maharashtra,IT Services,504,0.065,2025-08-24,Post-IPO,India,0,Senior Software Engineer,Engineering,Part-time,Economic slowdown,Startup,Synthetic Practice Data
Ather Energy,Bengaluru,Karnataka,Automotive,623,0.055,2021-03-21,Late Stage,India,500,UI/UX Designer,Design,Full-time,Restructuring,Medium,Synthetic Practice Data
Policybazaar,Gurugram,Haryana,Financial Services,49,0.043,2021-07-24,Post-IPO,India,800,Product Manager,Product,Contract,Business shutdown,Startup,Synthetic Practice Data
Infosys,Hyderabad,Telangana,IT Services,107,0.133,2024-06-21,Post-IPO,India,0,Recruiter,Human Resources,Full-time,Cost cutting,Enterprise,Synthetic Practice Data
Dream11,Mumbai,Maharashtra,Gaming,293,0.233,2022-02-08,Late Stage,India,1000,HR Executive,Human Resources,Full-time,Restructuring,Startup,Synthetic Practice Data
Lenskart,Gurugram,Haryana,Retail,482,0.212,2022-08-19,Late Stage,India,1500,Software Engineer,Engineering,Intern,Restructuring,Medium,Synthetic Practice Data
Razorpay,gurugram,Haryana,FinTech,592,0.015,2022-05-27,Late Stage,India,800,Recruiter,Human Resources,Intern,Economic slowdown,Medium,Synthetic Practice Data
Ather Energy,Bengaluru,Karnataka,Automotive,484,0.081,2022-05-07,Late Stage,India,500,Operations Executive,Operations,Part-time,Restructuring,Small,Synthetic Practice Data
Swiggy,Hyderabad,Telangana,Food Delivery,739,0.148,2021-12-01,Post-IPO,India,3600,Business Analyst,Business,Contract,Funding issues,Large,Synthetic Practice Data
Freshworks,Hyderabad,Telangana,saas,247,0.212,2026-08-10,Post-IPO,India,484,Operations Executive,Operations,Full-time,Strategic restructuring,Enterprise,Synthetic Practice Data
Meesho,Mumbai,Maharashtra,E-commerce,249,0.139,2026-04-04,Late Stage,India,1200,Business Analyst,Business,Intern,Automation,Medium,Synthetic Practice Data
Curefit,Bengaluru,Karnataka,HealthTech,183,0.228,2025-02-09,Late Stage,India,700,Recruiter,Human Resources,Part-time,Merger and acquisition,Startup,Synthetic Practice Data
Swiggy,Bengaluru ,Karnataka,Food Delivery,450,0.111,2021-12-28,Post-IPO,India,3600,DevOps Engineer,Engineering,Part-time,Funding issues,Medium,Synthetic Practice Data
Swiggy,Hyderabad,Telangana,Food Delivery,944,0.132,2023-05-27,Post-IPO,India,3600,DevOps Engineer,Engineering,Part-time,Business shutdown,Small,Synthetic Practice Data
Wipro,Bengaluru,Karnataka,IT Services,104,0.155,2023-02-20,Post-IPO,India,0,Data Analyst,Analytics,Full-time,Performance optimization,Large,Synthetic Practice Data
PharmEasy,Bengaluru,Karnataka,HealthTech,74,0.146,2026-02-18,Late Stage,India,1200,Data Scientist,Data Science,Contract,Cost cutting,Medium,Synthetic Practice Data
Meesho,Bengaluru,Karnataka,E-commerce,682,0.029,2025-04-15,Late Stage,India,1200,Recruiter,Human Resources,Intern,Merger and acquisition,Enterprise,Synthetic Practice Data
PharmEasy,Bengaluru,Karnataka,HealthTech,458,0.047,2025-02-15,Late Stage,India,1200,Data Analyst,Analytics,Full-time,Funding issues,Small,Synthetic Practice Data
Moglix,Mumbai,Maharashtra,E-commerce,29,0.066,2025-05-03,Late Stage,India,650,Sales Executive,Sales,Full-time,Performance optimization,Large,Synthetic Practice Data
CRED,Mumbai,Maharashtra,FinTech,373,0.026,2025-12-06,Late Stage,India,1000,Product Manager,Product,Contract,Restructuring,Large,Synthetic Practice Data
Myntra,Mumbai,Maharashtra,E-commerce,123,0.05,2025-09-10,Late Stage,India,500,Marketing Executive,Marketing,Contract,Automation,Startup,Synthetic Practice Data
Swiggy,Hyderabad,Telangana,Food Delivery,1065,0.049,2022-10-24,Post-IPO,India,3600,Sales Executive,Sales,Contract,Merger and acquisition,Enterprise,Synthetic Practice Data
BYJU'S,Bengaluru,Karnataka,EdTech,672,0.051,2025-08-15,Late Stage,India,5500,Senior Software Engineer,Engineering,Contract,Merger and acquisition,Large,Synthetic Practice Data
Wipro,Pune,Maharashtra,IT Services,99,0.089,2023-12-14,Post-IPO,India,0,Business Analyst,Business,Contract,Strategic restructuring,Large,Synthetic Practice Data
OYO,Bengaluru,Karnataka,Travel,901,0.126,2024-08-17,Post-IPO,India,4300,Sales Executive,Sales,Intern,Strategic restructuring,Small,Synthetic Practice Data
Udaan,Mumbai,Maharashtra,E-commerce,26,0.177,2021-11-27,Late Stage,India,1200,Marketing Executive,Marketing,Contract,Cost cutting,Startup,Synthetic Practice Data
BYJU'S,Gurugram,Haryana,EdTech,221,0.11,2023-02-10,Late Stage,India,5500,Business Analyst,Business,Contract,Performance optimization,Large,Synthetic Practice Data
Razorpay,Mumbai,Maharashtra,FinTech,444,0.159,2026-08-03,Late Stage,India,800,Product Manager,Product,Contract,Performance optimization,Enterprise,Synthetic Practice Data
Ather Energy,Bengaluru,Karnataka,Automotive,174,0.042,2023-04-17,Late Stage,India,500,Operations Executive,Operations,Contract,Merger and acquisition,Large,Synthetic Practice Data
Myntra,Mumbai,Maharashtra,E-commerce,512,0.11,2025-12-22,Late Stage,India,500,Customer Support Executive,Customer Support,Full-time,Restructuring,Startup,Synthetic Practice Data
Accenture India,Mumbai,Maharashtra,IT Services,214,0.196,2021-03-03,Private,India,0,Product Manager,Product,Full-time,Business shutdown,Large,Synthetic Practice Data
Razorpay,Bengaluru,Karnataka,FinTech,330,0.105,2024-05-10,Late Stage,India,800,QA Engineer,Quality Assurance,Full-time,Economic slowdown,Large,Synthetic Practice Data
Ather Energy,Chennai,Tamil Nadu,Automotive,66,0.194,2024-12-19,Late Stage,India,500,Software Engineer,Engineering,Intern,Economic slowdown,Large,Synthetic Practice Data
OYO,Bengaluru,Karnataka,Travel,902,0.144,2021-03-09,Post-IPO,India,4300,Finance Analyst,Finance,Contract,Restructuring,Startup,Synthetic Practice Data
Ather Energy,Chennai,Tamil Nadu,Automotive,144,0.045,2022-03-18,Late Stage,India,500,UI/UX Designer,Design,Intern,Cost cutting,Small,Synthetic Practice Data
BYJU'S,Gurugram,Haryana,EdTech,585,0.019,2024-03-07,Late Stage,India,5500,Recruiter,Human Resources,Contract,Strategic restructuring,Small,Synthetic Practice Data
HCLTech,Bengaluru,Karnataka,IT Services,1027,0.14,2025-06-12,Post-IPO,India,0,Product Manager,Product,Intern,Strategic restructuring,Small,Synthetic Practice Data
Freshworks,Chennai,Tamil Nadu,SaaS,231,0.028,2021-10-16,Post-IPO,India,484,Operations Executive,Operations,Part-time,Strategic restructuring,Medium,Synthetic Practice Data
Wipro,Pune,Maharashtra,IT Services,610,0.113,2022-11-30,Post-IPO,India,0,UI/UX Designer,Design,Intern,Economic slowdown,Medium,Synthetic Practice Data
TCS,Chennai,Tamil Nadu,IT Services,736,0.025,2025-12-23,Post-IPO,India,0,Senior Software Engineer,Engineering,Contract,Restructuring,Enterprise,Synthetic Practice Data
Moglix,Noida,Uttar Pradesh,E-commerce,625,0.134,2025-05-14,Late Stage,India,650,Sales Executive,Sales,Full-time,Merger and acquisition,Enterprise,Synthetic Practice Data
Freshworks,Hyderabad,Telangana,SaaS,256,0.159,2025-04-15,Post-IPO,India,484,HR Executive,Human Resources,Contract,Funding issues,Medium,Synthetic Practice Data
Policybazaar,Gurugram,Haryana,Financial Services,530,0.049,2022-04-17,Post-IPO,India,800,UI/UX Designer,Design,Contract,Business shutdown,Small,Synthetic Practice Data
CRED,Gurugram,Haryana,FinTech,417,0.242,2024-04-19,Late Stage,India,1000,Product Manager,Product,Part-time,Automation,Small,Synthetic Practice Data
Tech Mahindra,Pune,Maharashtra,IT Services,445,0.219,2026-06-30,Post-IPO,India,0,QA Engineer,Quality Assurance,Contract,Strategic restructuring,Small,Synthetic Practice Data
Ola,Mumbai,Maharashtra,Transportation,424,0.085,2026-04-30,Late Stage,India,3200,Product Manager,Product,Contract,Automation,Startup,Synthetic Practice Data
Policybazaar,Gurugram,Haryana,Financial Services,113,0.217,2025-01-01,Post-IPO,India,800,Product Manager,Product,Part-time,Automation,Small,Synthetic Practice Data
Unacademy,Bengaluru,Karnataka,EdTech,241,0.128,2025-03-14,Late Stage,India,800,Data Analyst,Analytics,Part-time,Business shutdown,Medium,Synthetic Practice Data
OYO,Gurugram,Haryana,Travel,345,0.047,2023-12-05,Post-IPO,India,4300,Business Analyst,Business,Intern,Performance optimization,Small,Synthetic Practice Data
Dream11,Gurugram,Haryana,Gaming,668,0.068,2021-01-27,Late Stage,India,1000,Operations Executive,Operations,Part-time,Economic slowdown,Medium,Synthetic Practice Data
Lenskart,New Delhi,Delhi,Retail,668,0.084,2021-01-03,Late Stage,India,1500,Finance Analyst,Finance,Full-time,Market conditions,Small,Synthetic Practice Data
Lenskart,Mumbai,Maharashtra,Retail,665,0.016,2025-09-24,Late Stage,India,1500,Data Scientist,Data Science,Part-time,Business shutdown,Enterprise,Synthetic Practice Data
Tech Mahindra,Kolkata,West Bengal,IT Services,305,0.201,2025-04-12,Post-IPO,India,0,Customer Support Executive,Customer Support,Full-time,Economic slowdown,Large,Synthetic Practice Data
Freshworks,Bengaluru,Karnataka,SaaS,467,0.192,2023-02-08,Post-IPO,India,484,QA Engineer,Quality Assurance,Full-time,Market conditions,Enterprise,Synthetic Practice Data
Dream11,Gurugram,Haryana,Gaming,687,0.116,2022-10-31,Late Stage,India,1000,Product Manager,Product,Part-time,Performance optimization,Large,Synthetic Practice Data
ShareChat,New Delhi,Delhi,Social Media,281,0.031,2025-07-05,Late Stage,India,1300,Business Analyst,Business,Part-time,Performance optimization,Enterprise,Synthetic Practice Data
Zomato,New Delhi,Delhi,Food Delivery,420,0.189,2021-02-07,Post-IPO,India,2500,Business Analyst,Business,Contract,Funding issues,Enterprise,Synthetic Practice Data
TCS,Bengaluru,Karnataka,IT Services,784,0.018,2026-06-03,Post-IPO,India,0,UI/UX Designer,Design,Intern,Automation,Startup,Synthetic Practice Data
PhonePe,Bengaluru,Karnataka,FinTech,644,0.093,2026-05-14,Late Stage,India,2200,HR Executive,Human Resources,Intern,Strategic restructuring,Enterprise,Synthetic Practice Data
Zomato,Mumbai,Maharashtra,Food Delivery,288,0.103,2022-01-29,Post-IPO,India,2500,Customer Support Executive,Customer Support,Part-time,Funding issues,Enterprise,Synthetic Practice Data
Freshworks,Chennai,Tamil Nadu,SaaS,1062,0.109,2025-08-29,Post-IPO,India,484,Finance Analyst,Finance,Part-time,Automation,Large,Synthetic Practice Data
HCLTech,Chennai,Tamil Nadu,IT Services,826,0.111,2021-06-13,Post-IPO,India,0,Sales Executive,Sales,Intern,Funding issues,Large,Synthetic Practice Data
Lenskart,Bengaluru,Karnataka,Retail,112,0.141,2026-02-15,Late Stage,India,1500,QA Engineer,Quality Assurance,Intern,Cost cutting,Small,Synthetic Practice Data
Paytm,Bengaluru,Karnataka,FinTech,281,0.246,2021-04-21,Post-IPO,India,5000,Data Scientist,Data Science,Intern,Market conditions,Enterprise,Synthetic Practice Data
Ola,New Delhi,Delhi,Transportation,86,0.056,2024-08-26,Late Stage,India,3200,Project Manager,Project Management,Full-time,Automation,Enterprise,Synthetic Practice Data
Myntra,Bengaluru,Karnataka,E-commerce,395,0.144,,Late Stage,India,500,Sales Executive,Sales,Full-time,Economic slowdown,Small,Synthetic Practice Data
Dream11,Mumbai,Maharashtra,Gaming,26,0.18,2023-02-06,Late Stage,India,1000,QA Engineer,Quality Assurance,Contract,Business shutdown,Startup,Synthetic Practice Data
Flipkart,Mumbai,Maharashtra,E-commerce,546,0.11,2026-04-25,Late Stage,India,8700,Data Analyst,Analytics,Contract,Cost cutting,Medium,Synthetic Practice Data
Ola,Mumbai,Maharashtra,Transportation,34,0.041,2023-02-05,Late Stage,India,3200,Data Analyst,Analytics,Full-time,Performance optimization,Large,Synthetic Practice Data
Unacademy,New Delhi,Delhi,EdTech,268,0.021,2026-03-14,Late Stage,India,,Customer Support Executive,Customer Support,Full-time,Economic slowdown,Startup,Synthetic Practice Data
Myntra,Bengaluru,Karnataka,E-commerce,349,0.074,2024-04-22,Late Stage,India,500,QA Engineer,Quality Assurance,Full-time,Automation,Startup,Synthetic Practice Data
Swiggy,Mumbai,Maharashtra,Food Delivery,1196,0.011,2026-07-03,Post-IPO,India,3600,Recruiter,,Intern,Automation,Large,Synthetic Practice Data
CRED,Bengaluru,Karnataka,FinTech,640,0.123,2026-06-04,Late Stage,India,1000,UI/UX Designer,Design,Part-time,Automation,Large,Synthetic Practice Data
Tech Mahindra,Bengaluru,Karnataka,IT Services,1180,0.132,2023-01-24,Post-IPO,India,0,Customer Support Executive,Customer Support,Part-time,Cost cutting,Small,Synthetic Practice Data
Curefit,Mumbai,Maharashtra,HealthTech,576,0.059,2023-08-27,Late Stage,India,700,project manager,Project Management,Full-time,Cost cutting,Small,Synthetic Practice Data
Razorpay,Mumbai,Maharashtra,FinTech,539,0.125,2025-03-16,Late Stage,India,800,HR Executive,Human Resources,Full-time,Merger and acquisition,Enterprise,Synthetic Practice Data
Paytm,Noida,Uttar Pradesh,FinTech,1136,0.019,2025-09-02,Post-IPO,India,5000,Finance Analyst,Finance,Intern,Market conditions,Small,Synthetic Practice Data
Dream11,Gurugram,Haryana,Gaming,393,0.082,2023-01-18,Late Stage,India,1000,Data Scientist,Data Science,Part-time,Merger and acquisition,Large,Synthetic Practice Data
PharmEasy,Mumbai,Maharashtra,HealthTech,174,0.248,2026-08-17,Late Stage,India,1200,Business Analyst,Business,Contract,Merger and acquisition,Enterprise,Synthetic Practice Data
Moglix,Noida,Uttar Pradesh,E-commerce,213,0.13,2023-03-01,Late Stage,India,650,DevOps Engineer,Engineering,Part-time,Cost cutting,Enterprise,Synthetic Practice Data
Paytm,Mumbai,Maharashtra,FinTech,966,0.13,2026-08-06,Post-IPO,India,5000,Operations Executive,Operations,Contract,Performance optimization,Enterprise,Synthetic Practice Data
Ather Energy,Bengaluru,Karnataka,Automotive,430,0.081,2026-06-12,Late Stage,India,500,HR Executive,Human Resources,Part-time,Strategic restructuring,Enterprise,Synthetic Practice Data
Wipro,Bengaluru,Karnataka,IT Services,863,0.091,2024-08-29,Post-IPO,India,0,Product Manager,Product,Part-time,Automation,Enterprise,Synthetic Practice Data
PharmEasy,Mumbai,Maharashtra,HealthTech,330,0.241,2023-08-24,Late Stage,India,1200,Finance Analyst,Finance,Intern,Funding issues,Large,Synthetic Practice Data
Policybazaar,New Delhi,Delhi,Financial Services,247,0.248,2023-03-19,Post-IPO,India,800,Marketing Executive,Marketing,Contract,Funding issues,Medium,Synthetic Practice Data
Curefit,Mumbai,Maharashtra,HealthTech,396,0.062,2024-10-14,Late Stage,India,700,Marketing Executive,Marketing,Full-time,Performance optimization,Medium,Synthetic Practice Data
Infosys,Chennai,Tamil Nadu,IT Services,625,0.062,2024-12-06,Post-IPO,India,0,Data Analyst,Analytics,Full-time,Automation,Large,Synthetic Practice Data
Unacademy,Jaipur,Rajasthan,EdTech,445,0.142,2026-05-18,Late Stage,India,800,UI/UX Designer,Design,Full-time,Restructuring,Large,Synthetic Practice Data
Paytm,Bengaluru,Karnataka,FinTech,93,0.016,2024-05-26,Post-IPO,India,5000,Operations Executive,Operations,Intern,Economic slowdown,Large,Synthetic Practice Data
Curefit,Bengaluru,Karnataka,HealthTech,368,0.045,2022-10-22,Late Stage,India,700,Data Scientist,Data Science,Part-time,Automation,Large,Synthetic Practice Data
